TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
LOJA,ALUGAR,29001,29000,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,725,0,5,0,370625,0,0,2023-08-05,-,-30.0760656,-51.1315976
LOJA,ALUGAR,9071,8700,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,299,0,0,0,381026,0,0,2023-08-05,-,-30.0760656,-51.1315976
SALA/CONJUNTO COMERCIAL,ALUGAR,2125,1600,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,45,0,1,0,378275,0,0,2023-08-05,-,-30.0444453,-51.2203463
LOJA,ALUGAR,14667,14000,AVENIDA,ASSIS BRASIL,CRISTO REDENTOR,PORTO ALEGRE,RS,403,0,0,0,380864,0,0,2023-08-05,-,-29.9799682,-51.1144159
LOJA,ALUGAR,14667,14000,AVENIDA,ASSIS BRASIL,CRISTO REDENTOR,PORTO ALEGRE,RS,400,0,0,0,380869,0,0,2023-08-05,-,-29.9799682,-51.1144159
LOJA,ALUGAR,16257,15000,AVENIDA,CAIRU,NAVEGANTES,PORTO ALEGRE,RS,606,0,0,0,361987,0,0,2023-08-05,-,-30.006866,-51.1924578
LOJA,ALUGAR,26334,25000,AVENIDA,ASSIS BRASIL,CRISTO REDENTOR,PORTO ALEGRE,RS,750,0,0,0,344990,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,ALUGAR,6651,5000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,114,0,0,0,307675,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,ALUGAR,2661,2000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,47,0,0,0,307678,0,0,2023-08-05,-,-29.9799682,-51.1144159
PREDIO,ALUGAR,33293,32000,RUA,GENERAL JOAO MANOEL,CENTRO HISTORICO,PORTO ALEGRE,RS,1400,0,0,0,265940,0,0,2023-08-05,-,-30.0318584,-51.233169
LOJA,ALUGAR,11070,9000,AVENIDA,IPIRANGA,PARTENON,PORTO ALEGRE,RS,184,0,0,0,287388,0,0,2023-08-05,-,-30.0554878,-51.1692291
LOJA,ALUGAR,21805,18500,AVENIDA,IPIRANGA,PARTENON,PORTO ALEGRE,RS,742,0,0,0,258222,0,0,2023-08-05,-,-30.0554878,-51.1692291
SALA/CONJUNTO COMERCIAL,ALUGAR,5850,4800,RUA,VINTE E QUATRO DE OUTUBRO,MOINHOS DE VENTO,PORTO ALEGRE,RS,46,0,1,0,230420,0,0,2023-08-05,-,-30.0279761,-51.2058778
PREDIO,ALUGAR,52000,50000,RUA,FERNANDES VIEIRA,BOM FIM,PORTO ALEGRE,RS,1126,0,0,0,422250,0,0,2023-08-05,-,-30.0345107,-51.2109966
PREDIO,ALUGAR,55660,38000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,1245,0,13,0,429400,0,0,2023-08-05,-,-29.6526379,-50.5738717
SALA/CONJUNTO COMERCIAL,ALUGAR,2574,1950,AVENIDA,ASSIS BRASIL,JARDIM LINDOIA,PORTO ALEGRE,RS,42,0,1,1,414615,0,0,2023-08-05,-,-29.9799682,-51.1144159
ANDAR,ALUGAR,10433,7500,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,313,0,0,0,417908,0,0,2023-08-05,-,-29.6526379,-50.5738717
ANDAR,ALUGAR,7933,5000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,150,0,0,0,417726,0,0,2023-08-05,-,-29.6526379,-50.5738717
LOJA,ALUGAR,23252,20000,AVENIDA,WENCESLAU ESCOBAR,CRISTAL,PORTO ALEGRE,RS,500,0,0,0,412174,0,0,2023-08-05,-,-30.1005917,-51.2488704
SALA/CONJUNTO COMERCIAL,ALUGAR,28550,20000,RUA,URUGUAI,CENTRO HISTORICO,PORTO ALEGRE,RS,1073,0,0,0,393624,0,0,2023-08-05,-,-30.0057244,-51.0356834
SALA/CONJUNTO COMERCIAL,ALUGAR,1984,1200,AVENIDA,BORGES DE MEDEIROS,CENTRO HISTORICO,PORTO ALEGRE,RS,45,0,0,1,394006,0,1,2023-08-05,-,-29.6611245,-50.5844571
SALA/CONJUNTO COMERCIAL,ALUGAR,4745,3350,RUA,FELIX DA CUNHA,MOINHOS DE VENTO,PORTO ALEGRE,RS,95,0,1,1,394445,0,0,2023-08-05,-,-30.0181669,-51.2023045
SALA/CONJUNTO COMERCIAL,ALUGAR,3992,3300,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,49,0,0,0,387245,0,0,2023-08-05,-,-30.0296388,-51.2232103
CASA COMERCIAL,ALUGAR,8442,7900,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,198,0,0,1,385468,0,0,2023-08-05,-,-30.0279761,-51.2058778
SALA/CONJUNTO COMERCIAL,ALUGAR,1575,890,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,45,0,0,0,369221,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,ALUGAR,2792,1600,RUA,FARIA SANTOS,PETROPOLIS,PORTO ALEGRE,RS,79,0,0,0,370472,0,0,2023-08-05,-,-30.0492505,-51.1913718
DEPOSITO/ARMAZEM/PAVILHAO,ALUGAR,16375,15000,RUA,ALMIRANTE TAMANDARE,FLORESTA,PORTO ALEGRE,RS,1200,0,0,0,377738,0,0,2023-08-05,-,-29.9033806,-50.2621044
SALA/CONJUNTO COMERCIAL,ALUGAR,12450,10160,RUA,MANOELITO DE ORNELLAS,PRAIA DE BELAS,PORTO ALEGRE,RS,127,0,3,0,372910,0,0,2023-08-05,-,-30.0456264,-51.2308114
SALA/CONJUNTO COMERCIAL,ALUGAR,2267,1742,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,37,0,1,0,378253,0,0,2023-08-05,-,-30.0444453,-51.2203463
LOJA,ALUGAR,8690,7500,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,232,0,0,0,341054,0,0,2023-08-05,-,-30.0279761,-51.2058778
SALA/CONJUNTO COMERCIAL,ALUGAR,3478,2900,RUA,MOSTARDEIRO,MOINHOS DE VENTO,PORTO ALEGRE,RS,36,0,1,0,321067,0,0,2023-08-05,-,-30.0830345,-51.0500728
CASA COMERCIAL,ALUGAR,16122,15000,RUA,TENENTE-CORONEL FABRICIO PILAR,MONT SERRAT,PORTO ALEGRE,RS,472,0,0,0,326736,0,0,2023-08-05,-,-30.0255215,-51.1901719
LOJA,ALUGAR,31705,30000,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,806,0,11,0,277650,0,0,2023-08-05,-,-30.0760656,-51.1315976
SALA/CONJUNTO COMERCIAL,ALUGAR,21797,15000,RUA,DONA LAURA,RIO BRANCO,PORTO ALEGRE,RS,372,0,8,0,275207,0,0,2023-08-05,-,-30.0292454,-51.1953876
SALA/CONJUNTO COMERCIAL,ALUGAR,2015,1500,RUA,CORONEL BORDINI,AUXILIADORA,PORTO ALEGRE,RS,36,0,1,0,293780,0,1,2023-08-05,-,-30.034316,-51.1958583
PREDIO,ALUGAR,46509,44900,RUA,QUINTINO BOCAIUVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,800,0,0,0,302540,0,0,2023-08-05,-,-29.6808939,-51.1207451
LOJA,ALUGAR,1793,1500,AVENIDA,GUARUJA,GUARUJA,PORTO ALEGRE,RS,114,0,0,0,248664,0,0,2023-08-05,-,-30.1554382,-51.2207619
SALA/CONJUNTO COMERCIAL,ALUGAR,705,400,RUA,URUGUAI,CENTRO HISTORICO,PORTO ALEGRE,RS,35,0,0,0,432907,0,0,2023-08-05,-,-30.0057244,-51.0356834
SALA/CONJUNTO COMERCIAL,ALUGAR,1270,450,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,45,0,0,0,432897,0,0,2023-08-05,-,-30.0760656,-51.1315976
SALA/CONJUNTO COMERCIAL,ALUGAR,2294,1400,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36,0,1,1,435159,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,ALUGAR,2556,1600,RUA,DOUTOR FLORENCIO YGARTUA,MOINHOS DE VENTO,PORTO ALEGRE,RS,45,0,1,1,435173,0,0,2023-08-05,-,-30.0286679,-51.2030284
SALA/CONJUNTO COMERCIAL,ALUGAR,5130,3600,RUA,SIQUEIRA CAMPOS,CENTRO HISTORICO,PORTO ALEGRE,RS,114,0,0,1,434935,0,0,2023-08-05,-,-30.0305543,-51.2369341
LOJA,ALUGAR,2298,2200,RUA,FELIX DA CUNHA,FLORESTA,PORTO ALEGRE,RS,28,0,0,0,432806,0,0,2023-08-05,-,-30.0181669,-51.2023045
LOJA,ALUGAR,7374,7000,AVENIDA,OTAVIO ROCHA,CENTRO HISTORICO,PORTO ALEGRE,RS,24,0,0,1,432819,0,0,2023-08-05,-,-30.028205,-51.2237342
LOJA,ALUGAR,17462,17000,AVENIDA,OTAVIO ROCHA,CENTRO HISTORICO,PORTO ALEGRE,RS,98,0,0,0,432821,0,0,2023-08-05,-,-30.028205,-51.2237342
SALA/CONJUNTO COMERCIAL,ALUGAR,2870,2000,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,60,0,0,0,432832,0,0,2023-08-05,-,-30.0296388,-51.2232103
LOJA,ALUGAR,27238,26460,AVENIDA,WENCESLAU ESCOBAR,TRISTEZA,PORTO ALEGRE,RS,588,0,3,0,436565,0,0,2023-08-05,-,-30.1005917,-51.2488704
SALA/CONJUNTO COMERCIAL,ALUGAR,2210,1600,RUA,VISCONDE DO HERVAL,MENINO DEUS,PORTO ALEGRE,RS,44,0,0,0,436737,0,0,2023-08-05,-,-30.0530369,-51.2247193
ANDAR,ALUGAR,10760,5380,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,538,0,0,0,342507,1,0,2023-08-05,-,-29.9594516,-51.7271927
SALA/CONJUNTO COMERCIAL,ALUGAR,2400,1200,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,120,0,0,0,342550,1,0,2023-08-05,-,-29.9594516,-51.7271927
SALA/CONJUNTO COMERCIAL,ALUGAR,3080,1540,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,154,0,0,0,342551,1,0,2023-08-05,-,-29.9594516,-51.7271927
LOJA,ALUGAR,4500,2250,AVENIDA,DOUTOR CARLOS BARBOSA,MEDIANEIRA,PORTO ALEGRE,RS,165,0,0,0,364906,1,0,2023-08-05,-,-30.0624596,-51.2118472
SALA/CONJUNTO COMERCIAL,ALUGAR,450,225,AVENIDA,PROTASIO ALVES,RIO BRANCO,PORTO ALEGRE,RS,24,0,0,0,229016,1,0,2023-08-05,-,-30.0399646,-51.1714215
SALA/CONJUNTO COMERCIAL,ALUGAR,2685,1750,RUA,DONA LAURA,MOINHOS DE VENTO,PORTO ALEGRE,RS,53,0,1,1,432140,0,0,2023-08-05,-,-30.0292454,-51.1953876
SALA/CONJUNTO COMERCIAL,ALUGAR,1714,1000,AVENIDA,GOETHE,RIO BRANCO,PORTO ALEGRE,RS,45,0,1,0,318770,0,0,2023-08-05,-,-30.027087,-51.199371
LOJA,ALUGAR,11020,8900,AVENIDA,IPIRANGA,JARDIM BOTANICO,PORTO ALEGRE,RS,184,0,0,0,240079,0,0,2023-08-05,-,-30.0554878,-51.1692291
LOJA,ALUGAR,2180,1090,AVENIDA,IPIRANGA,PRAIA DE BELAS,PORTO ALEGRE,RS,45,0,0,0,422868,0,0,2023-08-05,-,-30.0554878,-51.1692291
SALA/CONJUNTO COMERCIAL,ALUGAR,2000,1000,RUA,MARIANTE,RIO BRANCO,PORTO ALEGRE,RS,98,0,0,0,418447,0,0,2023-08-05,-,-30.0375651,-51.2039987
CASA COMERCIAL,ALUGAR,5000,2500,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,255,0,0,1,415570,0,0,2023-08-05,-,-30.0399646,-51.1714215
ANDAR,ALUGAR,14350,7175,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,732,0,0,0,408484,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,ALUGAR,1200,600,AVENIDA,PARA,NAVEGANTES,PORTO ALEGRE,RS,40,0,0,0,401416,0,0,2023-08-05,-,-30.0106514,-51.1988646
SALA/CONJUNTO COMERCIAL,ALUGAR,1200,600,AVENIDA,PARA,NAVEGANTES,PORTO ALEGRE,RS,40,0,0,0,401421,0,0,2023-08-05,-,-30.0106514,-51.1988646
SALA/CONJUNTO COMERCIAL,ALUGAR,2200,1100,AVENIDA,PARA,NAVEGANTES,PORTO ALEGRE,RS,70,0,0,0,401428,0,0,2023-08-05,-,-30.0106514,-51.1988646
ANDAR,ALUGAR,10150,5075,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,516,0,0,0,409330,0,0,2023-08-05,-,-30.0296388,-51.2232103
ANDAR,ALUGAR,8900,4450,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,507,0,0,0,409333,0,0,2023-08-05,-,-30.0296388,-51.2232103
ANDAR,ALUGAR,8700,4350,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,495,0,0,0,409337,0,0,2023-08-05,-,-30.0296388,-51.2232103
ANDAR,ALUGAR,9500,4750,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,508,0,0,0,409343,0,0,2023-08-05,-,-30.0296388,-51.2232103
GALPAO,ALUGAR,5500,2750,RUA,CORONEL JOSE RODRIGUES SOBRAL,PARTENON,PORTO ALEGRE,RS,400,0,0,0,409547,0,0,2023-08-05,-,-30.0644644,-51.1861347
SALA/CONJUNTO COMERCIAL,ALUGAR,700,350,RUA,DOUTOR BARROS CASSAL,CENTRO HISTORICO,PORTO ALEGRE,RS,44,0,0,1,393681,0,0,2023-08-05,-,-30.0277651,-51.2172752
SALA/CONJUNTO COMERCIAL,ALUGAR,3500,1750,AVENIDA,PADRE CACIQUE,CRISTAL,PORTO ALEGRE,RS,34,0,1,0,400328,0,0,2023-08-05,-,-30.0771014,-51.2446466
PREDIO,ALUGAR,105000,52500,RUA,FELIX DA CUNHA,FLORESTA,PORTO ALEGRE,RS,3700,0,0,0,385691,0,0,2023-08-05,-,-30.0181669,-51.2023045
SALA/CONJUNTO COMERCIAL,ALUGAR,2000,1000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,37,0,0,0,387963,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,ALUGAR,1200,600,AVENIDA,TERESOPOLIS,TERESOPOLIS,PORTO ALEGRE,RS,48,0,0,2,374102,0,0,2023-08-05,-,-30.0823909,-51.2133095
SALA/CONJUNTO COMERCIAL,ALUGAR,3000,1500,RUA,ANITA GARIBALDI,MONT SERRAT,PORTO ALEGRE,RS,134,0,1,0,379023,0,0,2023-08-05,-,-30.022182,-51.1738111
SALA/CONJUNTO COMERCIAL,ALUGAR,1000,500,RUA,TOBIAS DA SILVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,47,0,1,1,379368,0,0,2023-08-05,-,-30.0226445,-51.1998317
SALA/CONJUNTO COMERCIAL,ALUGAR,2440,1220,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,122,0,0,0,342455,0,0,2023-08-05,-,-29.9594516,-51.7271927
LOJA,ALUGAR,10000,5000,RUA,CORONEL BORDINI,AUXILIADORA,PORTO ALEGRE,RS,165,0,0,0,342492,0,0,2023-08-05,-,-30.034316,-51.1958583
SALA/CONJUNTO COMERCIAL,ALUGAR,4655,2328,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,233,0,0,0,342497,0,0,2023-08-05,-,-30.0296388,-51.2232103
PAVILHAO,ALUGAR,19500,9750,RUA,VOLUNTARIOS DA PATRIA,CENTRO HISTORICO,PORTO ALEGRE,RS,2542,0,0,0,342510,0,0,2023-08-05,-,-30.0079532,-51.2092338
SALA/CONJUNTO COMERCIAL,ALUGAR,3080,1540,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,154,0,0,0,342534,0,0,2023-08-05,-,-29.9594516,-51.7271927
SALA/CONJUNTO COMERCIAL,ALUGAR,2440,1220,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,122,0,0,0,342541,0,0,2023-08-05,-,-29.9594516,-51.7271927
SALA/CONJUNTO COMERCIAL,ALUGAR,5240,2620,RUA,GENERAL BENTO MARTINS,CENTRO HISTORICO,PORTO ALEGRE,RS,262,0,0,0,342548,0,0,2023-08-05,-,-29.9594516,-51.7271927
SALA/CONJUNTO COMERCIAL,ALUGAR,2000,1000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,47,0,0,0,346661,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,ALUGAR,1100,550,AVENIDA,IJUI,PETROPOLIS,PORTO ALEGRE,RS,32,0,0,0,329095,0,0,2023-08-05,-,-30.0384635,-51.1873967
SALA/CONJUNTO COMERCIAL,ALUGAR,2290,1145,AVENIDA,CARLOS GOMES,AUXILIADORA,PORTO ALEGRE,RS,36,0,1,0,325398,0,0,2023-08-05,-,-30.0373718,-51.1744218
SALA/CONJUNTO COMERCIAL,ALUGAR,1700,850,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,34,0,0,0,312613,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,ALUGAR,5300,2650,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,162,0,0,0,331981,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,ALUGAR,1200,600,RUA,IGUASSU,PETROPOLIS,PORTO ALEGRE,RS,42,0,0,0,332001,0,0,2023-08-05,-,-29.7380789,-51.1543519
SALA/CONJUNTO COMERCIAL,ALUGAR,2100,1050,AVENIDA,CARLOS GOMES,AUXILIADORA,PORTO ALEGRE,RS,70,0,1,0,336308,0,0,2023-08-05,-,-30.0373718,-51.1744218
SALA/CONJUNTO COMERCIAL,ALUGAR,1100,550,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36,0,0,0,294068,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,ALUGAR,1100,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62,0,0,0,284721,0,0,2023-08-05,-,-30.2372192,-50.236148
SALA/CONJUNTO COMERCIAL,ALUGAR,1100,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62,0,0,0,284743,0,0,2023-08-05,-,-30.2372192,-50.236148
SALA/CONJUNTO COMERCIAL,ALUGAR,1100,550,AVENIDA,JULIO DE CASTILHOS,CENTRO HISTORICO,PORTO ALEGRE,RS,62,0,0,0,285113,0,0,2023-08-05,-,-30.2372192,-50.236148
