TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,PRONTO_PARA_MORAR,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS
CASA COMERCIAL,ALUGAR,53550,5000,AVENIDA,PROFESSOR PAULA SOARES,JARDIM ITU SABARA,PORTO ALEGRE,RS,220.0,0,0,1,384640,0.0,0,2023-08-05,-,-,-,,,,,
LOJA,ALUGAR,85010,8500,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,255.0,0,0,0,370595,0.0,0,2023-08-05,-,-30.0760656,-51.1315976,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,121200,7800,AVENIDA,CARLOS GOMES,PETROPOLIS,PORTO ALEGRE,RS,156.0,0,2,0,377552,0.0,0,2023-08-05,-,-30.0373718,-51.1744218,,,,,
LOJA,ALUGAR,90710,8700,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,299.0,0,0,0,381026,0.0,0,2023-08-05,-,-30.0760656,-51.1315976,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,21250,1600,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,45.0,0,1,0,378275,0.0,0,2023-08-05,-,-30.0444453,-51.2203463,,,,,
LOJA,ALUGAR,146670,14000,AVENIDA,ASSIS BRASIL,CRISTO REDENTOR,PORTO ALEGRE,RS,403.0,0,0,0,380864,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
LOJA,ALUGAR,146670,14000,AVENIDA,ASSIS BRASIL,CRISTO REDENTOR,PORTO ALEGRE,RS,400.0,0,0,0,380869,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
LOJA,ALUGAR,162570,15000,AVENIDA,CAIRU,NAVEGANTES,PORTO ALEGRE,RS,606.0,0,0,0,361987,0.0,0,2023-08-05,-,-30.006866,-51.1924578,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,66510,5000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,114.0,0,0,0,307675,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,26610,2000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,47.0,0,0,0,307678,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
LOJA,ALUGAR,110700,9000,AVENIDA,IPIRANGA,PARTENON,PORTO ALEGRE,RS,184.0,0,0,0,287388,0.0,0,2023-08-05,-,-30.0554878,-51.1692291,,,,,
LOJA,ALUGAR,218050,18500,AVENIDA,IPIRANGA,PARTENON,PORTO ALEGRE,RS,742.0,0,0,0,258222,0.0,0,2023-08-05,-,-30.0554878,-51.1692291,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,58500,4800,RUA,VINTE E QUATRO DE OUTUBRO,MOINHOS DE VENTO,PORTO ALEGRE,RS,46.0,0,1,0,230420,0.0,0,2023-08-05,-,-30.0279761,-51.2058778,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,25740,1950,AVENIDA,ASSIS BRASIL,JARDIM LINDOIA,PORTO ALEGRE,RS,42.0,0,1,1,414615,0.0,0,2023-08-05,-,-29.9799682,-51.1144159,,,,,
ANDAR,ALUGAR,104330,7500,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,313.0,0,0,0,417908,0.0,0,2023-08-05,-,-29.6526379,-50.5738717,,,,,
ANDAR,ALUGAR,79330,5000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,150.0,0,0,0,417726,0.0,0,2023-08-05,-,-29.6526379,-50.5738717,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,19840,1200,AVENIDA,BORGES DE MEDEIROS,CENTRO HISTORICO,PORTO ALEGRE,RS,45.0,0,0,1,394006,0.0,1,2023-08-05,-,-29.6611245,-50.5844571,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,47450,3350,RUA,FELIX DA CUNHA,MOINHOS DE VENTO,PORTO ALEGRE,RS,95.0,0,1,1,394445,0.0,0,2023-08-05,-,-30.0181669,-51.2023045,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,39920,3300,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,49.0,0,0,0,387245,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
CASA COMERCIAL,ALUGAR,84420,7900,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,198.0,0,0,1,385468,0.0,0,2023-08-05,-,-30.0279761,-51.2058778,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,15750,890,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,45.0,0,0,0,369221,0.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,27920,1600,RUA,FARIA SANTOS,PETROPOLIS,PORTO ALEGRE,RS,79.0,0,0,0,370472,0.0,0,2023-08-05,-,-30.0492505,-51.1913718,,,,,
PAVILHAO,ALUGAR,163750,15000,RUA,ALMIRANTE TAMANDARE,FLORESTA,PORTO ALEGRE,RS,1200.0,0,0,0,377738,0.0,0,2023-08-05,-,-29.9033806,-50.2621044,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,124500,10160,RUA,MANOELITO DE ORNELLAS,PRAIA DE BELAS,PORTO ALEGRE,RS,127.0,0,3,0,372910,0.0,0,2023-08-05,-,-30.0456264,-51.2308114,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,22670,1742,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,37.0,0,1,0,378253,0.0,0,2023-08-05,-,-30.0444453,-51.2203463,,,,,
LOJA,ALUGAR,86900,7500,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,232.0,0,0,0,341054,0.0,0,2023-08-05,-,-30.0279761,-51.2058778,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,34780,2900,RUA,MOSTARDEIRO,MOINHOS DE VENTO,PORTO ALEGRE,RS,36.0,0,1,0,321067,0.0,0,2023-08-05,-,-30.0830345,-51.0500728,,,,,
CASA COMERCIAL,ALUGAR,161220,15000,RUA,TENENTE-CORONEL FABRICIO PILAR,MONT SERRAT,PORTO ALEGRE,RS,472.0,0,0,0,326736,0.0,0,2023-08-05,-,-30.0255215,-51.1901719,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,217970,15000,RUA,DONA LAURA,RIO BRANCO,PORTO ALEGRE,RS,372.0,0,8,0,275207,0.0,0,2023-08-05,-,-30.0292454,-51.1953876,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,20150,1500,RUA,CORONEL BORDINI,AUXILIADORA,PORTO ALEGRE,RS,36.0,0,1,0,293780,0.0,1,2023-08-05,-,-30.034316,-51.1958583,,,,,
LOJA,ALUGAR,17930,1500,AVENIDA,GUARUJA,GUARUJA,PORTO ALEGRE,RS,114.0,0,0,0,248664,0.0,0,2023-08-05,-,-30.1554382,-51.2207619,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,7050,400,RUA,URUGUAI,CENTRO HISTORICO,PORTO ALEGRE,RS,35.0,0,0,0,432907,0.0,0,2023-08-05,-,-30.0057244,-51.0356834,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,12700,450,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,45.0,0,0,0,432897,0.0,0,2023-08-05,-,-30.0760656,-51.1315976,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,22940,1400,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36.0,0,1,1,435159,0.0,0,2023-08-05,-,-30.048605,-51.2056502,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,25560,1600,RUA,DOUTOR FLORENCIO YGARTUA,MOINHOS DE VENTO,PORTO ALEGRE,RS,45.0,0,1,1,435173,0.0,0,2023-08-05,-,-30.0286679,-51.2030284,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,51300,3600,RUA,SIQUEIRA CAMPOS,CENTRO HISTORICO,PORTO ALEGRE,RS,114.0,0,0,1,434935,0.0,0,2023-08-05,-,-30.0305543,-51.2369341,,,,,
LOJA,ALUGAR,22980,2200,RUA,FELIX DA CUNHA,FLORESTA,PORTO ALEGRE,RS,28.0,0,0,0,432806,0.0,0,2023-08-05,-,-30.0181669,-51.2023045,,,,,
LOJA,ALUGAR,73740,7000,AVENIDA,OTAVIO ROCHA,CENTRO HISTORICO,PORTO ALEGRE,RS,24.0,0,0,1,432819,0.0,0,2023-08-05,-,-30.028205,-51.2237342,,,,,
