TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
PREDIO,COMPRA,1000000,1000000,AVENIDA,PROFESSOR OSCAR PEREIRA,GLORIA,PORTO ALEGRE,RS,300.0,0,0,0,365917,0.0,0,0,0,2023-08-05,-,-30.0624525,-51.2062623
SALA/CONJUNTO COMERCIAL,COMPRA,290000,290000,AVENIDA,ITAQUI,PETROPOLIS,PORTO ALEGRE,RS,76.0,0,0,0,366285,0.0,0,0,0,2023-08-05,-,-30.0415553,-51.1883687
CASA COMERCIAL,COMPRA,1650000,1650000,AVENIDA,TEIXEIRA MENDES,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,306.0,0,3,0,361387,0.0,1,0,0,2023-08-05,-,-30.0402821,-51.1659816
SALA/CONJUNTO COMERCIAL,COMPRA,686520,686520,RUA,LUCIANA DE ABREU,MOINHOS DE VENTO,PORTO ALEGRE,RS,76.0,0,2,0,368902,0.0,0,0,0,2023-08-05,-,-30.0248094,-51.203114
SALA/CONJUNTO COMERCIAL,COMPRA,235000,235000,AVENIDA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,39.0,0,0,0,367268,0.0,0,0,0,2023-08-05,-,-30.0220731,-51.2085441
SALA/CONJUNTO COMERCIAL,COMPRA,225000,225000,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,21.0,0,1,0,367336,0.0,0,0,0,2023-08-05,-,-30.0279761,-51.2058778
SALA/CONJUNTO COMERCIAL,COMPRA,550000,550000,RUA,VINTE E QUATRO DE OUTUBRO,MOINHOS DE VENTO,PORTO ALEGRE,RS,39.0,0,0,0,368180,0.0,0,0,0,2023-08-05,-,-30.0279761,-51.2058778
CASA COMERCIAL,COMPRA,2200000,2200000,RUA,ARAPONGA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,305.0,0,2,0,367998,0.0,0,0,0,2023-08-05,-,-29.6829392,-51.1183065
SALA/CONJUNTO COMERCIAL,COMPRA,159000,159000,RUA,CORONEL BORDINI,AUXILIADORA,PORTO ALEGRE,RS,35.0,0,0,0,362313,0.0,0,0,0,2023-08-05,-,-30.034316,-51.1958583
CASA COMERCIAL,COMPRA,3500000,3500000,AVENIDA,BASTIAN,MENINO DEUS,PORTO ALEGRE,RS,350.0,0,0,0,362586,0.0,0,0,0,2023-08-05,-,-30.0505697,-51.225511
COBERTURA,COMPRA,800000,800000,AVENIDA,DO FORTE,CRISTO REDENTOR,PORTO ALEGRE,RS,253.0,4,2,1,352707,0.0,0,0,0,2023-08-05,-,-30.0273181,-51.1507413
CASA,COMPRA,1090000,1090000,RUA,PAULO BLASCHKE,JARDIM ITU,PORTO ALEGRE,RS,360.0,2,2,3,341588,0.0,0,0,0,2023-08-05,-,-30.0157326,-51.1327471
SALA/CONJUNTO COMERCIAL,COMPRA,795000,795000,AVENIDA,CARLOS GOMES,AUXILIADORA,PORTO ALEGRE,RS,122.0,0,3,0,340713,0.0,0,0,0,2023-08-05,-,-30.0373718,-51.1744218
SALA/CONJUNTO COMERCIAL,COMPRA,1550000,1550000,RUA,GENERAL CAMARA,CENTRO HISTORICO,PORTO ALEGRE,RS,283.0,0,0,0,341465,0.0,1,0,0,2023-08-05,-,-30.0614614,-51.1025552
LOJA,COMPRA,325000,325000,AVENIDA,BENTO GONCALVES,PARTENON,PORTO ALEGRE,RS,83.0,0,1,0,368770,0.0,0,0,0,2023-08-05,-,-30.0760656,-51.1315976
BOX/GARAGEM,COMPRA,36000,36000,RUA,DUQUE DE CAXIAS,CENTRO HISTORICO,PORTO ALEGRE,RS,12.0,0,1,0,368320,0.0,0,0,0,2023-08-05,-,-30.0336261,-51.228012
SALA/CONJUNTO COMERCIAL,COMPRA,50000,50000,RUA,PROFESSOR ANNES DIAS,CENTRO HISTORICO,PORTO ALEGRE,RS,30.0,0,0,0,364499,0.0,0,0,0,2023-08-05,-,-30.0313728,-51.2235576
DEPOSITO/ARMAZEM/PAVILHAO,COMPRA,1160000,1160000,AVENIDA,MARIA JOSEFA DA FONTOURA,SARANDI,PORTO ALEGRE,RS,250.0,0,3,1,379084,0.0,0,0,0,2023-08-05,-,-29.998564,-51.135498
SALA/CONJUNTO COMERCIAL,COMPRA,500000,500000,AVENIDA,CARLOS GOMES,BELA VISTA,PORTO ALEGRE,RS,48.0,0,1,1,378509,0.0,0,0,0,2023-08-05,-,-30.0373718,-51.1744218
SALA/CONJUNTO COMERCIAL,COMPRA,350000,350000,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,38.0,0,1,1,378607,0.0,0,0,0,2023-08-05,-,-30.0279761,-51.2058778
SALA/CONJUNTO COMERCIAL,COMPRA,498000,498000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,37.0,0,1,1,378377,0.0,0,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,498000,498000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,37.0,0,1,1,378378,0.0,0,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,498000,498000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36.0,0,1,2,378379,0.0,0,0,0,2023-08-05,-,-30.048605,-51.2056502
CASA,COMPRA,5800000,5800000,RUA,BENJAMIM FLORES,INDEPENDENCIA,PORTO ALEGRE,RS,600.0,1,5,1,371240,0.0,0,0,0,2023-08-05,-,-,-
SALA/CONJUNTO COMERCIAL,COMPRA,210000,210000,RUA,JOAO GUIMARAES,SANTA CECILIA,PORTO ALEGRE,RS,38.0,0,0,1,371122,0.0,0,0,0,2023-08-05,-,-30.0409286,-51.2009582
SALA/CONJUNTO COMERCIAL,COMPRA,220000,220000,RUA,TOBIAS DA SILVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,40.0,0,0,0,343413,0.0,0,0,0,2023-08-05,-,-30.0226445,-51.1998317
SALA/CONJUNTO COMERCIAL,COMPRA,220000,220000,RUA,TOBIAS DA SILVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,40.0,0,0,0,343414,0.0,0,0,0,2023-08-05,-,-30.0226445,-51.1998317
SALA/CONJUNTO COMERCIAL,COMPRA,470000,470000,RUA,RAMIRO BARCELOS,MOINHOS DE VENTO,PORTO ALEGRE,RS,37.0,0,1,0,343199,0.0,0,0,1,2023-08-05,-,-30.0287082,-51.2085122
SALA/CONJUNTO COMERCIAL,COMPRA,295000,295000,AVENIDA,IGUASSU,PETROPOLIS,PORTO ALEGRE,RS,32.0,0,1,0,358635,0.0,0,0,0,2023-08-05,-,-30.0417055,-51.180103
LOJA,COMPRA,690000,690000,RUA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,101.0,0,0,0,347087,0.0,0,0,0,2023-08-05,-,-29.6815183,-51.1367365
CASA COMERCIAL,COMPRA,855000,855000,RUA,GENERAL VASCO ALVES,CENTRO HISTORICO,PORTO ALEGRE,RS,590.0,0,0,0,347964,0.0,0,0,0,2023-08-05,-,-30.0354971,-51.2377191
SALA/CONJUNTO COMERCIAL,COMPRA,350000,350000,RUA,BARAO DO GRAVATAI,MENINO DEUS,PORTO ALEGRE,RS,44.0,0,1,0,348125,0.0,0,0,0,2023-08-05,-,-30.0443239,-51.2258336
SALA/CONJUNTO COMERCIAL,COMPRA,350000,350000,RUA,BARAO DO GRAVATAI,MENINO DEUS,PORTO ALEGRE,RS,47.0,0,1,0,348205,0.0,0,0,0,2023-08-05,-,-30.0443239,-51.2258336
SALA/CONJUNTO COMERCIAL,COMPRA,200000,200000,RUA,WASHINGTON LUIZ,CENTRO HISTORICO,PORTO ALEGRE,RS,30.0,0,0,0,344936,0.0,0,0,0,2023-08-05,-,-30.0375487,-51.2291911
SALA/CONJUNTO COMERCIAL,COMPRA,650000,650000,RUA,WASHINGTON LUIZ,CENTRO HISTORICO,PORTO ALEGRE,RS,126.0,0,0,0,344731,0.0,0,0,0,2023-08-05,-,-30.0375487,-51.2291911
SALA/CONJUNTO COMERCIAL,COMPRA,298000,298000,RUA,DOM PEDRO II,HIGIENOPOLIS,PORTO ALEGRE,RS,44.0,0,0,0,356595,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
LOTE/TERRENO,COMPRA,790000,790000,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,397.0,0,0,0,355817,0.0,0,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,399000,399000,RUA,PROFESSOR DUPLAN,RIO BRANCO,PORTO ALEGRE,RS,114.0,0,1,0,342830,0.0,0,0,0,2023-08-05,-,-30.0384424,-51.2008121
SALA/CONJUNTO COMERCIAL,COMPRA,200000,200000,AVENIDA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,37.0,0,0,0,342910,0.0,0,0,0,2023-08-05,-,-30.0220731,-51.2085441
SALA/CONJUNTO COMERCIAL,COMPRA,775000,775000,AVENIDA,BORGES DE MEDEIROS,PRAIA DE BELAS,PORTO ALEGRE,RS,50.0,0,1,0,342795,0.0,0,0,0,2023-08-05,-,-29.6611245,-50.5844571
SALA/CONJUNTO COMERCIAL,COMPRA,204000,204000,RUA,PROFESSOR ANNES DIAS,CENTRO HISTORICO,PORTO ALEGRE,RS,68.0,0,1,0,353290,0.0,0,0,0,2023-08-05,-,-30.0313728,-51.2235576
CASA COMERCIAL,COMPRA,490000,490000,AVENIDA,BAHIA,SAO GERALDO,PORTO ALEGRE,RS,181.0,0,0,0,353388,0.0,0,0,0,2023-08-05,-,-30.0111224,-51.2003352
SALA/CONJUNTO COMERCIAL,COMPRA,299000,299000,AVENIDA,ASSIS BRASIL,JARDIM LINDOIA,PORTO ALEGRE,RS,25.0,0,1,0,345697,0.0,0,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,500000,500000,RUA,RIACHUELO,CENTRO HISTORICO,PORTO ALEGRE,RS,90.0,0,0,0,346914,0.0,0,0,0,2023-08-05,-,-30.0327864,-51.2345941
SALA/CONJUNTO COMERCIAL,COMPRA,149990,149990,RUA,RIACHUELO,CENTRO HISTORICO,PORTO ALEGRE,RS,47.0,0,0,0,346327,0.0,0,0,0,2023-08-05,-,-30.0327864,-51.2345941
SALA/CONJUNTO COMERCIAL,COMPRA,900000,900000,RUA,RIACHUELO,CENTRO HISTORICO,PORTO ALEGRE,RS,170.0,0,0,0,346923,0.0,0,0,0,2023-08-05,-,-30.0327864,-51.2345941
LOJA,COMPRA,450000,450000,RUA,VINTE E QUATRO DE OUTUBRO,MOINHOS DE VENTO,PORTO ALEGRE,RS,70.0,0,0,0,346927,0.0,0,0,0,2023-08-05,-,-30.0279761,-51.2058778
SALA/CONJUNTO COMERCIAL,COMPRA,290000,290000,AVENIDA,LOUREIRO DA SILVA,CIDADE BAIXA,PORTO ALEGRE,RS,37.0,0,2,1,372377,0.0,0,0,0,2023-08-05,-,-30.0350342,-51.2232904
LOJA,COMPRA,2590000,2590000,RUA,DOM PEDRO II,SAO JOAO,PORTO ALEGRE,RS,328.0,0,3,4,371544,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
SALA/CONJUNTO COMERCIAL,COMPRA,630000,630000,RUA,MARQUES DO POMBAL,MOINHOS DE VENTO,PORTO ALEGRE,RS,89.0,0,1,2,371983,0.0,0,0,0,2023-08-05,-,-30.0192009,-51.1915381
LOJA,COMPRA,3089900,3089900,RUA,DOM PEDRO II,SAO JOAO,PORTO ALEGRE,RS,414.0,0,0,2,371705,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
LOJA,COMPRA,4075700,4075700,RUA,DOM PEDRO II,SAO JOAO,PORTO ALEGRE,RS,575.0,0,0,2,371712,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
COBERTURA,COMPRA,640000,640000,AVENIDA,DO FORTE,VILA IPIRANGA,PORTO ALEGRE,RS,126.0,2,1,2,349315,0.0,0,0,0,2023-08-05,-,-30.0273181,-51.1507413
SALA/CONJUNTO COMERCIAL,COMPRA,255000,255000,AVENIDA,CARLOS GOMES,AUXILIADORA,PORTO ALEGRE,RS,40.0,0,0,0,349416,0.0,0,0,0,2023-08-05,-,-30.0373718,-51.1744218
CASA,COMPRA,970000,970000,TRAVESSA,TIBAGI,SAO SEBASTIAO,PORTO ALEGRE,RS,295.0,4,5,2,348555,0.0,0,0,0,2023-08-05,-,-29.9987443,-51.1445404
SALA/CONJUNTO COMERCIAL,COMPRA,450000,450000,RUA,RIACHUELO,CENTRO HISTORICO,PORTO ALEGRE,RS,92.0,0,0,0,348681,0.0,0,0,0,2023-08-05,-,-30.0327864,-51.2345941
SALA/CONJUNTO COMERCIAL,COMPRA,300000,300000,RUA,ANTAO DE FARIAS,BOM FIM,PORTO ALEGRE,RS,72.0,0,0,0,350053,0.0,0,0,0,2023-08-05,-,-30.0317857,-51.2171924
CASA,COMPRA,6000000,6000000,RUA,DONA ADDA MASCARENHAS DE MORAES,JARDIM ITU,PORTO ALEGRE,RS,2000.0,0,12,5,349546,0.0,0,0,0,2023-08-05,-,-30.0120812,-51.1354752
CASA COMERCIAL,COMPRA,6000000,6000000,RUA,DONA ADDA MASCARENHAS DE MORAES,JARDIM ITU,PORTO ALEGRE,RS,2000.0,0,12,0,349604,0.0,0,0,0,2023-08-05,-,-30.0120812,-51.1354752
SALA/CONJUNTO COMERCIAL,COMPRA,450000,450000,AVENIDA,WENCESLAU ESCOBAR,CRISTAL,PORTO ALEGRE,RS,189.0,0,2,0,313992,0.0,0,0,0,2023-08-05,-,-30.1005917,-51.2488704
LOJA,COMPRA,199500,199500,RUA,SANTA ISABEL,ALTO PETROPOLIS,PORTO ALEGRE,RS,67.0,0,0,0,314318,0.0,0,0,0,2023-08-05,-,-30.0443649,-51.1647301
PREDIO,COMPRA,2990000,2990000,RUA,VIEIRA DE CASTRO,FARROUPILHA,PORTO ALEGRE,RS,900.0,0,2,0,313588,0.0,0,0,0,2023-08-05,-,-30.0378072,-51.2129685
SALA/CONJUNTO COMERCIAL,COMPRA,348000,348000,RUA,DOM PEDRO II,HIGIENOPOLIS,PORTO ALEGRE,RS,52.0,0,0,0,312412,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
SALA/CONJUNTO COMERCIAL,COMPRA,428000,428000,AVENIDA,INDEPENDENCIA,INDEPENDENCIA,PORTO ALEGRE,RS,38.0,0,1,0,312652,0.0,0,0,0,2023-08-05,-,-30.0293303,-51.2148669
SALA/CONJUNTO COMERCIAL,COMPRA,640000,640000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,66.0,0,1,0,369172,0.0,0,0,0,2023-08-05,-,-29.6526379,-50.5738717
SALA/CONJUNTO COMERCIAL,COMPRA,450000,450000,AVENIDA,INDEPENDENCIA,INDEPENDENCIA,PORTO ALEGRE,RS,44.0,0,1,0,365408,0.0,0,0,0,2023-08-05,-,-30.0293303,-51.2148669
SALA/CONJUNTO COMERCIAL,COMPRA,1199000,1199000,AVENIDA,BORGES DE MEDEIROS,PRAIA DE BELAS,PORTO ALEGRE,RS,113.0,0,3,0,363912,0.0,0,0,0,2023-08-05,-,-29.6611245,-50.5844571
SALA/CONJUNTO COMERCIAL,COMPRA,500000,500000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,38.0,0,1,0,363281,0.0,0,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,360000,360000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,38.0,0,1,0,363289,0.0,0,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,398000,398000,AVENIDA,OSVALDO ARANHA,BOM FIM,PORTO ALEGRE,RS,39.0,0,1,0,363293,0.0,0,0,0,2023-08-05,-,-30.0354441,-51.2112849
SALA/CONJUNTO COMERCIAL,COMPRA,275000,275000,RUA,TOBIAS DA SILVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,36.0,0,0,2,337913,0.0,0,0,0,2023-08-05,-,-30.0226445,-51.1998317
SALA/CONJUNTO COMERCIAL,COMPRA,253190,253190,RUA,FELICISSIMO DE AZEVEDO,HIGIENOPOLIS,PORTO ALEGRE,RS,25.0,0,0,0,339840,0.0,0,0,0,2023-08-05,-,-30.0174708,-51.1886484
SALA/CONJUNTO COMERCIAL,COMPRA,55000,55000,RUA,VIGARIO JOSE INACIO,CENTRO HISTORICO,PORTO ALEGRE,RS,11.0,0,0,0,338331,0.0,0,0,0,2023-08-05,-,-29.5676459,-50.7909134
SALA/CONJUNTO COMERCIAL,COMPRA,800000,800000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,60.0,0,2,0,338342,0.0,1,0,1,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,800000,800000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,60.0,0,2,0,338359,0.0,1,0,1,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,COMPRA,550000,550000,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,36.0,0,1,0,310492,0.0,0,0,0,2023-08-05,-,-30.048605,-51.2056502
PREDIO,COMPRA,2499000,2499000,RUA,URUGUAI,CENTRO HISTORICO,PORTO ALEGRE,RS,1050.0,0,0,0,311592,0.0,0,0,0,2023-08-05,-,-30.0057244,-51.0356834
SALA/CONJUNTO COMERCIAL,COMPRA,325000,325000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,43.0,0,1,2,311226,0.0,0,0,0,2023-08-05,-,-29.6526379,-50.5738717
PREDIO,COMPRA,530000,530000,RUA,SANTOS DUMONT,FLORESTA,PORTO ALEGRE,RS,131.0,0,0,0,311234,0.0,0,0,0,2023-08-05,-,-29.7278375,-51.1484306
SALA/CONJUNTO COMERCIAL,COMPRA,599000,599000,AVENIDA,INDEPENDENCIA,INDEPENDENCIA,PORTO ALEGRE,RS,45.0,0,1,0,319345,0.0,0,0,1,2023-08-05,-,-30.0293303,-51.2148669
SALA/CONJUNTO COMERCIAL,COMPRA,395000,395000,AVENIDA,OSVALDO ARANHA,BOM FIM,PORTO ALEGRE,RS,39.0,0,1,0,319377,0.0,0,0,0,2023-08-05,-,-30.0354441,-51.2112849
SALA/CONJUNTO COMERCIAL,COMPRA,450000,450000,AVENIDA,SENADOR TARSO DUTRA,PETROPOLIS,PORTO ALEGRE,RS,44.0,0,1,0,318491,0.0,0,0,0,2023-08-05,-,-30.0395284,-51.1736994
SALA/CONJUNTO COMERCIAL,COMPRA,252700,252700,RUA,VIGARIO JOSE INACIO,CENTRO HISTORICO,PORTO ALEGRE,RS,84.0,0,0,0,318277,0.0,0,0,0,2023-08-05,-,-29.5676459,-50.7909134
SALA/CONJUNTO COMERCIAL,COMPRA,820000,820000,RUA,DOM PEDRO II,HIGIENOPOLIS,PORTO ALEGRE,RS,216.0,0,4,0,320098,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
SALA/CONJUNTO COMERCIAL,COMPRA,1180000,1180000,RUA,GENERAL CAMARA,CENTRO HISTORICO,PORTO ALEGRE,RS,289.0,0,0,0,330459,0.0,0,1,0,2023-08-05,-,-30.0614614,-51.1025552
PREDIO,COMPRA,1600000,1600000,AVENIDA,IPIRANGA,JARDIM BOTANICO,PORTO ALEGRE,RS,500.0,0,3,0,330953,0.0,0,0,0,2023-08-05,-,-30.0554878,-51.1692291
SALA/CONJUNTO COMERCIAL,COMPRA,160000,160000,PRACA,QUINZE DE NOVEMBRO,CENTRO HISTORICO,PORTO ALEGRE,RS,49.0,0,0,0,331558,0.0,0,0,0,2023-08-05,-,-30.028453550000002,-51.22724002054571
SALA/CONJUNTO COMERCIAL,COMPRA,110000,110000,AVENIDA,DO FORTE,VILA IPIRANGA,PORTO ALEGRE,RS,32.0,0,0,0,331162,0.0,0,0,0,2023-08-05,-,-30.0273181,-51.1507413
SALA/CONJUNTO COMERCIAL,COMPRA,110000,110000,AVENIDA,DO FORTE,VILA IPIRANGA,PORTO ALEGRE,RS,26.0,0,0,0,331172,0.0,0,0,0,2023-08-05,-,-30.0273181,-51.1507413
PREDIO,COMPRA,7000000,7000000,AVENIDA,ALBERTO BINS,CENTRO HISTORICO,PORTO ALEGRE,RS,500.0,0,0,0,331224,0.0,0,0,0,2023-08-05,-,-30.0278879,-51.2192861
SALA/CONJUNTO COMERCIAL,COMPRA,149500,149500,AVENIDA,IGUASSU,PETROPOLIS,PORTO ALEGRE,RS,42.0,0,0,0,316538,0.0,0,0,0,2023-08-05,-,-30.0417055,-51.180103
SALA/CONJUNTO COMERCIAL,COMPRA,420000,420000,TRAVESSA,FRANCISCO DE LEONARDO TRUDA,CENTRO HISTORICO,PORTO ALEGRE,RS,80.0,0,0,0,317330,0.0,0,0,0,2023-08-05,-,-,-
PREDIO,COMPRA,2200000,2200000,RUA,SANTA CATARINA,SANTA MARIA GORETTI,PORTO ALEGRE,RS,446.0,0,5,0,317865,0.0,0,0,0,2023-08-05,-,-30.0927235,-51.0551586
SALA/CONJUNTO COMERCIAL,COMPRA,1377000,1377000,AVENIDA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,200.0,0,3,0,334043,0.0,0,0,0,2023-08-05,-,-30.0220731,-51.2085441
SALA/CONJUNTO COMERCIAL,COMPRA,302100,302100,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,33.0,0,1,0,328077,0.0,0,0,0,2023-08-05,-,-29.6526379,-50.5738717
SALA/CONJUNTO COMERCIAL,COMPRA,176000,176000,AVENIDA,MONTENEGRO,PETROPOLIS,PORTO ALEGRE,RS,38.0,0,0,0,328103,0.0,0,0,0,2023-08-05,-,-30.0408216,-51.1819176
SALA/CONJUNTO COMERCIAL,COMPRA,150000,150000,RUA,COMENDADOR RHEINGANTZ,AUXILIADORA,PORTO ALEGRE,RS,34.0,0,0,0,328527,0.0,0,0,0,2023-08-05,-,-30.0238169,-51.1865
SALA/CONJUNTO COMERCIAL,COMPRA,199000,199000,RUA,JOAO ABBOTT,PETROPOLIS,PORTO ALEGRE,RS,30.0,0,1,0,327686,0.0,0,0,0,2023-08-05,-,-30.0410076,-51.1834698
SALA/CONJUNTO COMERCIAL,COMPRA,160000,160000,RUA,FERNANDES VIEIRA,BOM FIM,PORTO ALEGRE,RS,32.0,0,0,0,327940,0.0,0,0,0,2023-08-05,-,-30.0345107,-51.2109966
SALA/CONJUNTO COMERCIAL,COMPRA,185000,185000,AVENIDA,VENANCIO AIRES,BOM FIM,PORTO ALEGRE,RS,70.0,0,0,0,327983,0.0,0,0,0,2023-08-05,-,-30.0370093,-51.2092281
SALA/CONJUNTO COMERCIAL,COMPRA,150000,150000,AVENIDA,GOETHE,RIO BRANCO,PORTO ALEGRE,RS,25.0,0,0,0,327987,0.0,0,0,0,2023-08-05,-,-30.027087,-51.199371
SALA/CONJUNTO COMERCIAL,COMPRA,180000,180000,RUA,COMENDADOR RHEINGANTZ,AUXILIADORA,PORTO ALEGRE,RS,34.0,0,0,0,322315,0.0,0,0,0,2023-08-05,-,-30.0238169,-51.1865
LOJA,COMPRA,200000,200000,AVENIDA,ASSIS BRASIL,SANTA MARIA GORETTI,PORTO ALEGRE,RS,46.0,0,0,0,322246,0.0,0,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,295000,295000,AVENIDA,TAQUARA,PETROPOLIS,PORTO ALEGRE,RS,56.0,0,0,0,322588,0.0,0,0,0,2023-08-05,-,-29.6282086,-50.8282846
SALA/CONJUNTO COMERCIAL,COMPRA,120000,120000,AVENIDA,ALBERTO BINS,CENTRO HISTORICO,PORTO ALEGRE,RS,28.0,0,0,0,322773,0.0,0,0,0,2023-08-05,-,-30.0278879,-51.2192861
SALA/CONJUNTO COMERCIAL,COMPRA,550000,550000,RUA,EUDORO BERLINK,AUXILIADORA,PORTO ALEGRE,RS,52.0,0,3,0,320730,0.0,0,0,0,2023-08-05,-,-30.0238169,-51.1865
LOJA,COMPRA,399000,399000,AVENIDA,ALBERTO BINS,CENTRO HISTORICO,PORTO ALEGRE,RS,117.0,0,0,0,340563,0.0,0,0,0,2023-08-05,-,-30.0278879,-51.2192861
SALA/CONJUNTO COMERCIAL,COMPRA,1500000,1500000,AVENIDA,MAUA,CENTRO HISTORICO,PORTO ALEGRE,RS,255.0,0,8,0,323989,0.0,0,0,0,2023-08-05,-,-29.6409195,-50.9969392
SALA/CONJUNTO COMERCIAL,COMPRA,342592,342592,RUA,DOM PEDRO II,SAO JOAO,PORTO ALEGRE,RS,38.0,0,1,0,324685,0.0,0,0,0,2023-08-05,-,-30.0107225,-51.1890716
DEPOSITO/ARMAZEM/PAVILHAO,COMPRA,1900000,1900000,AVENIDA,TERESOPOLIS,TERESOPOLIS,PORTO ALEGRE,RS,300.0,0,4,0,324924,0.0,0,0,1,2023-08-05,-,-30.0823909,-51.2133095
SALA/CONJUNTO COMERCIAL,COMPRA,300000,300000,RUA,QUINTINO BOCAIUVA,MOINHOS DE VENTO,PORTO ALEGRE,RS,55.0,0,0,0,323063,0.0,0,0,0,2023-08-05,-,-29.6808939,-51.1207451
CASA COMERCIAL,COMPRA,1290000,1290000,RUA,JOAO GUIMARAES,SANTA CECILIA,PORTO ALEGRE,RS,272.0,3,2,5,336076,0.0,0,0,0,2023-08-05,-,-30.0409286,-51.2009582
SALA/CONJUNTO COMERCIAL,COMPRA,569000,569000,RUA,DOUTOR VALE,MOINHOS DE VENTO,PORTO ALEGRE,RS,83.0,0,1,0,327392,0.0,0,0,0,2023-08-05,-,-30.025421,-51.2070136
SALA/CONJUNTO COMERCIAL,COMPRA,280000,280000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,33.0,0,1,0,327463,0.0,0,0,0,2023-08-05,-,-29.6526379,-50.5738717
SALA/CONJUNTO COMERCIAL,COMPRA,2100000,2100000,AVENIDA,DOUTOR NILO PECANHA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,159.0,0,4,0,325574,0.0,0,0,0,2023-08-05,-,-30.0290116,-51.1578614
SALA/CONJUNTO COMERCIAL,COMPRA,999000,999000,RUA,BERNARDO PIRES,SANTANA,PORTO ALEGRE,RS,175.0,0,2,0,325843,0.0,0,0,0,2023-08-05,-,-30.0450921,-51.2052337
SALA/CONJUNTO COMERCIAL,COMPRA,293000,293000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,32.0,0,0,0,325858,0.0,0,0,0,2023-08-05,-,-29.6526379,-50.5738717
CASA,COMPRA,1499000,1499000,RUA,ECA DE QUEIROZ,PETROPOLIS,PORTO ALEGRE,RS,492.0,0,4,1,327155,0.0,0,0,0,2023-08-05,-,-29.6351915,-51.0082287
SALA/CONJUNTO COMERCIAL,COMPRA,245000,245000,RUA,JOAO GUIMARAES,SANTA CECILIA,PORTO ALEGRE,RS,31.0,0,1,0,336912,0.0,0,0,0,2023-08-05,-,-30.0409286,-51.2009582
